ind_id,gender,car_owner,propert_owner,children,annual_income,type_income,education,marital_status,housing_type,work_phone,phone,email_id,family_members,work_experience,age,label
5010995,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,1.0,55.0,0
5011032,F,N,Y,1,135000.0,Working,Academic degree,Civil marriage,House / apartment,0,1,0,3,21.0,48.0,0
5018461,F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,3,22.0,56.0,0
5018471,F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,3,22.0,56.0,0
5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,3.0,52.0,1
5018501,F,Y,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,3.0,52.0,1
5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,3.0,52.0,1
5018505,F,N,N,0,58500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,58.0,0
5021214,M,Y,Y,1,225000.0,State servant,Higher education,Married,House / apartment,0,1,0,3,7.0,35.0,0
5021267,F,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,13.0,40.0,0
5021293,F,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,3,1.0,33.0,0
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,0,0,1,3,3.0,25.0,1
5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,1.0,47.0,1
5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,1.0,47.0,1
5021373,F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,0,0,1,2,2.0,61.0,0
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,1,7.0,52.0,1
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,1,7.0,52.0,1
5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,1,1,0,2,15.0,37.0,0
5021490,M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,1,2.0,30.0,0
5021551,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,5.0,58.0,0
5021584,F,N,N,1,40500.0,State servant,Secondary / secondary special,Married,Rented apartment,0,0,0,3,6.0,36.0,0
5021682,M,N,Y,0,171000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,0,0,1,11.0,52.0,0
5021693,M,Y,Y,2,337500.0,Working,Incomplete higher,Married,House / apartment,0,1,0,4,5.0,34.0,0
5021730,F,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,3,4.0,47.0,0
5021737,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,1,-0.0,58.0,0
5021775,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,0,0,0,2,5.0,40.0,0
5021790,F,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4,19.0,42.0,0
5021879,M,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,4,1.0,36.0,0
5021967,F,N,N,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,4.0,33.0,0
5021968,F,N,N,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,4.0,33.0,0
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,2,5.0,52.0,1
5022015,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,5.0,28.0,0
5022025,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,5.0,28.0,0
5022041,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,2,4.0,28.0,0
5022047,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,Office apartment,1,1,0,2,23.0,41.0,0
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,0,0,0,1,12.0,36.0,1
5022063,F,N,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,0,1,0,2,-0.0,56.0,0
5022118,M,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,4.0,54.0,0
5022136,F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,57.0,0
5022156,F,Y,Y,2,180000.0,Commercial associate,Higher education,Married,House / apartment,0,1,1,4,8.0,33.0,0
5022189,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,0,0,2,22.0,42.0,0
5022243,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,2,23.0,42.0,0
5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,65.0,0
5022308,F,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,1,10.0,53.0,0
5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,2,5.0,59.0,0
5022343,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,1,-0.0,65.0,0
5022373,F,N,Y,1,234000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,2,23.0,57.0,0
5022449,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,1,1,6.0,49.0,0
5022458,M,Y,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,3,3.0,24.0,0
5022571,M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,2,-0.0,60.0,0
5022612,M,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,3.0,28.0,0
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,1,2,5.0,33.0,1
5022676,M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,64.0,0
5022730,M,Y,N,3,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,5,5.0,42.0,0
5022756,F,N,N,1,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,0,0,2,9.0,30.0,0
5022761,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,2,4.0,27.0,0
5022789,F,N,N,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,1,1.0,34.0,0
5022800,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,0,0,0,1,5.0,33.0,0
5022803,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,0,0,0,1,5.0,33.0,0
5022804,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,0,0,0,1,5.0,33.0,0
5022833,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,5.0,48.0,0
5022918,F,N,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,0,1,0,1,8.0,34.0,0
5022930,F,N,Y,0,270000.0,Working,Higher education,Married,House / apartment,0,0,1,2,1.0,26.0,0
5022954,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,2.0,51.0,0
5023059,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,2.0,31.0,0
5023089,F,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,1,12.0,47.0,0
5023092,F,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,1,12.0,47.0,0
5023147,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,-0.0,58.0,0
5023177,F,N,Y,1,337500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,3,13.0,49.0,0
5023186,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2,8.0,48.0,0
5023209,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,3,1.0,40.0,0
5023231,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,1,4.0,48.0,0
5023261,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,5.0,59.0,0
5023280,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,7.0,46.0,0
5023389,M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,4,6.0,38.0,0
5023410,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,60.0,0
5023460,F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,-0.0,58.0,0
5023475,F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,-0.0,58.0,0
5023482,F,N,Y,1,119250.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,3,13.0,44.0,0
5023491,M,Y,Y,0,83250.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,2,18.0,57.0,0
5023527,F,N,Y,0,274500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,19.0,57.0,0
5023563,F,N,Y,0,202500.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,1,28.0,49.0,0
5023587,M,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,1,18.0,40.0,0
5023616,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,1.0,49.0,0
5023655,F,N,N,0,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,0,0,0,1,4.0,29.0,0
5023692,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,10.0,42.0,0
5023706,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2,16.0,49.0,0
5023719,F,Y,Y,0,175500.0,Pensioner,Higher education,Married,House / apartment,0,1,0,2,-0.0,61.0,0
5023724,M,Y,N,1,495000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,3,1.0,29.0,0
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,0,0,0,2,3.0,49.0,1
5023816,F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,3,3.0,47.0,0
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,4,3.0,34.0,1
5023838,F,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,2,3.0,55.0,0
5023877,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,0,1,0,2,-0.0,63.0,0
5023914,F,N,Y,2,184500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,4,5.0,28.0,0
5023949,M,Y,Y,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,3,15.0,41.0,0
5024033,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,With parents,0,0,0,4,2.0,41.0,0
5024038,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,2.0,43.0,0
5024049,F,Y,Y,1,144000.0,Working,Higher education,Married,House / apartment,0,0,0,3,9.0,36.0,0
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,0,0,0,2,3.0,44.0,1
5024077,F,Y,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,1,-0.0,56.0,0
5024096,F,Y,N,0,126000.0,State servant,Incomplete higher,Single / not married,House / apartment,1,0,0,1,15.0,33.0,0
5024097,F,Y,N,0,126000.0,State servant,Incomplete higher,Single / not married,House / apartment,1,0,0,1,15.0,33.0,0
5024103,M,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,8.0,56.0,0
5024148,F,Y,N,0,180000.0,Working,Higher education,Married,With parents,1,1,0,2,3.0,32.0,0
5024163,M,Y,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,5,6.0,37.0,0
5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,2,1.0,43.0,1
5024238,F,N,Y,0,47250.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,0,1,0,2,-0.0,59.0,0
5024258,M,N,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,2.0,32.0,0
5024263,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0,1,0,2,4.0,59.0,0
5024352,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,2,5.0,46.0,0
5024386,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,Municipal apartment,0,0,0,2,4.0,37.0,0
5024412,M,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,0,0,0,2,14.0,51.0,0
5024527,F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,1,-0.0,58.0,0
5024578,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,0,0,0,3,5.0,29.0,0
5024582,F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,4,4.0,34.0,0
5024586,F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,4,4.0,34.0,0
5024592,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,2,5.0,25.0,0
5024604,F,N,Y,0,630000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,1,-0.0,61.0,0
5024636,F,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,4.0,55.0,0
5024665,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,13.0,40.0,0
5024666,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,2,13.0,40.0,0
5024670,F,N,Y,1,180000.0,Working,Higher education,Separated,House / apartment,0,0,0,2,5.0,42.0,0
5024726,M,N,Y,0,162000.0,Pensioner,Higher education,Married,House / apartment,0,1,0,2,-0.0,64.0,0
5024838,F,N,Y,0,202500.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,1,6.0,39.0,0
5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,-0.0,60.0,1
5024917,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,2,-0.0,60.0,1
5024925,F,N,N,0,33750.0,Pensioner,Higher education,Married,House / apartment,0,0,0,2,-0.0,53.0,0
5025020,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,59.0,0
5025029,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,55.0,0
5025047,F,Y,N,3,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,5,11.0,33.0,0
5025089,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,2,-0.0,61.0,0
5025127,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,10.0,31.0,1
5025161,M,N,N,0,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,2,15.0,35.0,0
5025181,F,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,8.0,63.0,0
5025207,M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,3,1.0,28.0,0
5025741,F,Y,N,0,216000.0,Working,Higher education,Married,Municipal apartment,0,1,0,2,1.0,33.0,0
5025791,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,10.0,51.0,0
5025936,F,N,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,16.0,38.0,0
5025951,F,N,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2,16.0,38.0,0
5026166,M,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,0,0,0,2,-0.0,67.0,0
5026177,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,22.0,53.0,0
5026178,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,2,22.0,53.0,0
5026368,M,N,Y,1,112500.0,Working,Higher education,Married,House / apartment,1,1,0,3,15.0,38.0,0
5026539,F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,1,4.0,44.0,0
5028274,F,Y,N,2,360000.0,Working,Incomplete higher,Married,House / apartment,0,0,0,4,7.0,35.0,0
5028280,F,N,N,1,157500.0,Commercial associate,Incomplete higher,Married,With parents,0,0,0,3,8.0,33.0,0
5028292,F,N,Y,0,292500.0,Working,Higher education,Separated,House / apartment,0,1,0,1,35.0,55.0,0
5028302,M,Y,Y,0,360000.0,Commercial associate,Incomplete higher,Married,House / apartment,0,0,0,2,2.0,55.0,0
5028337,F,Y,N,1,225000.0,Working,Higher education,Single / not married,With parents,0,0,0,2,15.0,38.0,0
5028383,M,Y,N,0,337500.0,Working,Secondary / secondary special,Single / not married,With parents,0,0,0,1,10.0,32.0,0
5028446,F,Y,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,1,8.0,50.0,0
5028468,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,4,1.0,34.0,0
5028547,M,Y,N,1,292500.0,Working,Secondary / secondary special,Separated,House / apartment,0,1,0,2,3.0,35.0,0
5028569,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,2,16.0,43.0,0
5028572,F,N,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,2,-0.0,61.0,0
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,2,2.0,55.0,1
5028612,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,With parents,0,1,0,1,6.0,30.0,0
5028615,F,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,With parents,0,1,0,1,6.0,30.0,0
5028616,M,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,1,1,0,3,6.0,26.0,0
5028645,F,N,Y,0,171000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,2,6.0,33.0,0
5028684,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,2,9.0,27.0,0
5028697,M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,0,1,0,3,1.0,30.0,0
5028726,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2,12.0,35.0,0
